object_id;source_topology_id;java_area;julia_area;java_Ri_PAR_0_q;julia_Ri_PAR_0_q;java_Ri_PAR_q;julia_Ri_PAR_q;java_Ri_custom_0_q;julia_Ri_custom_0_q;java_Ri_custom_q;julia_Ri_custom_q;absdiff_Ri_PAR_q;reldiff_Ri_PAR_q
-1;23;0.00390625;0.00390625;70.20535715270876;70.20536066428038;70.22304484975271;70.22304836276264;70.20535715270876;70.20536066428038;70.22304484975271;70.22304836276264;3.513009929179134e-6;5.002645408918786e-8
-1;24;0.00390625;0.00390625;69.78471500485237;69.78471937852113;69.82755130441718;69.82755568039192;69.78471500485236;69.78471937852113;69.82755130441717;69.82755568039192;4.375974739900812e-6;6.266831154974203e-8
-1;25;0.00390625;0.00390625;67.84950720525443;67.84951068288836;68.02305696796658;68.0230604572641;67.84950720525441;67.84951068288836;68.02305696796657;68.0230604572641;3.4892975122602365e-6;5.129580568399648e-8
-1;26;0.00390625;0.00390625;70.28953614964605;70.28954009146028;70.29162505628987;70.29162899834724;70.28953614964604;70.28954009146028;70.29162505628986;70.29162899834724;3.942057361427942e-6;5.608146572612489e-8
-1;27;0.00390625;0.00390625;69.75000824170849;69.75001212284745;69.83586959833775;69.83587348667848;69.75000824170847;69.75001212284745;69.83586959833775;69.83587348667848;3.88834072850841e-6;5.5678274658456624e-8
-1;28;0.00390625;0.00390625;70.09821435850837;70.09821831954041;70.11492561165896;70.11492957463601;70.09821435850836;70.09821831954041;70.11492561165896;70.11492957463601;3.962977046967353e-6;5.652116168413042e-8
-1;29;0.00390625;0.00390625;69.51291063799718;69.51291243608013;69.64060979252882;69.64061159873808;69.51291063799718;69.51291243608013;69.6406097925288;69.64061159873808;1.8062092550508169e-6;2.5936149330567614e-8
-1;30;0.00390625;0.00390625;69.89271866074394;69.89272285772363;70.0015666135597;70.00157081797238;69.89271866074394;69.89272285772363;70.00156661355969;70.00157081797238;4.204412675790081e-6;6.006169403322557e-8
-1;31;0.00390625;0.00390625;70.31249393490215;70.31249816668854;70.31249393490215;70.31249816668854;70.31249393490215;70.31249816668854;70.31249393490215;70.31249816668854;4.231786391528658e-6;6.018541164884009e-8
-1;32;0.00390625;0.00390625;69.7847131050712;69.78471710519301;69.83468878789681;69.83469279070896;69.7847131050712;69.78471710519301;69.83468878789681;69.83469279070896;4.002812147518853e-6;5.731839315094919e-8
-1;33;0.00390625;0.00390625;68.64117751984216;68.64117986548554;68.78841347864045;68.78841583299666;68.64117751984216;68.64117986548554;68.78841347864045;68.78841583299666;2.354356212208586e-6;3.422605774938594e-8
-1;34;0.00390625;0.00390625;70.05298654185286;70.05298893149464;70.0643037384013;70.06430612891367;70.05298654185285;70.05298893149464;70.0643037384013;70.06430612891367;2.39051236405885e-6;3.411883422097924e-8
-1;35;0.00390625;0.00390625;69.56251797765997;69.56252106734163;69.71471250975628;69.71471561081177;69.56251797765997;69.56252106734163;69.71471250975628;69.71471561081177;3.1010554835120274e-6;4.448208092485568e-8
-1;36;0.00390625;0.00390625;70.12500420725979;70.12500693459653;70.13962655376656;70.13962928280519;70.12500420725979;70.12500693459653;70.13962655376655;70.13962928280519;2.7290386270806266e-6;3.890865636401189e-8
-1;37;0.00390625;0.00390625;67.59658358845614;67.59658581717231;67.97031674328935;67.97031899450039;67.59658358845613;67.59658581717231;67.97031674328935;67.97031899450039;2.2512110433581256e-6;3.312050246669456e-8
-1;38;0.00390625;0.00390625;70.31249945038003;70.31250183331109;70.31249945038003;70.31250183331109;70.31249945038003;70.31250183331109;70.31249945038003;70.31250183331109;2.382931057809401e-6;3.389057530931681e-8
-1;39;0.00390625;0.00390625;70.31249946637436;70.31250183331127;70.31249946637436;70.31250183331127;70.31249946637436;70.31250183331127;70.31249946637436;70.31250183331127;2.3669369113576977e-6;3.3663102994790296e-8
